01	4.868	24.656	1.852	0.704	110.944	13	9	20	63925	49004
010	4.86	23.768	1.84	0.288	55.128	16	14	20	63907	49012
0100	4.856	24.6	1.904	0.168	87.504	16	11	20	63906	48935
01000	4.844	24.604	1.868	0.256	73.188	17	12	20	63913	48996
0101	4.86	24.1	1.68	0.236	84.268	11	7	20	63927	48986
0102	4.88	25.024	1.764	0.34	138.096	18	14	20	63921	48982
0103	4.9	24.252	1.92	0.912	85.988	18	14	20	63916	48947
0104	4.836	24.628	1.928	0.288	73.044	17	13	20	63910	48993
0105	3.516	28.192	1.3	0.292	79.356	15	12	20	63915	49012
0106	3.444	26.396	1.404	0.308	155.12	15	11	20	63943	49023
0107	3.464	26.8	1.452	0.156	65.776	16	14	20	63912	48975
0108	3.012	27.004	1.408	0.28	118.488	18	16	20	63928	49023
0109	2.932	26.644	1.552	0.284	35.228	8	6	20	63909	48950
011	2.868	26.38	1.564	0.472	113.068	17	13	20	63934	49035
0110	2.916	28.948	1.556	0.216	115.56	15	13	20	63928	48969
0111	3.356	28.536	1.564	0.224	92.49199999999999	10	7	20	63954	49028
0112	3.36	28.208	1.508	0.236	84.492	14	9	20	63918	49033
0113	3.304	28.02	1.588	0.204	53.408	7	3	20	63939	49064
0114	3.244	28.08	1.644	0.696	180.644	20	18	20	63943	49056
0115	3.588	27.884	1.356	0.416	110.712	19	15	20	63910	49016
0116	3.488	29.032	1.296	0.272	68.8	15	10	20	63941	49009
0117	3.412	26.052	1.292	0.252	32.672	12	7	20	63920	49002
0118	3.248	26.804	1.552	0.656	73.472	12	11	20	63923	48996
0119	3.3	26.372	1.484	0.608	97.944	17	13	20	63907	48958
012	2.688	26.756	1.588	0.312	76.004	11	7	20	63929	49027
0120	2.7	27.62	1.628	0.284	100.876	14	10	20	63944	49004
0121	3.54	29.052	1.592	0.744	123.444	12	7	20	63952	49045
0122	3.316	28.476	1.64	0.308	98.376	17	12	20	63934	49006
0123	3.34	27.18	1.332	0.32	56.628	7	3	20	63937	48903
0124	3.404	27.02	1.444	0.556	57.296	15	10	20	63932	49003
0125	3.18	26.864	1.584	0.528	126.128	17	14	20	63925	48998
0126	2.956	27.204	1.516	0.376	149.996	18	14	20	63951	49016
0127	2.96	27.156	1.508	0.272	160.684	18	13	20	63952	48941
