workdir/satlib/uf20-91/uf20-01000,	1,	0m0.099s,	0m0.080s,	0m0.003s,	91,	1,	0m0.048s,	0m0.040s,	0m0.007s,	94,	1,	0m0.073s,	0m0.060s,	0m0.010s,	94,	1,	0m0.075s,	0m0.067s,	0m0.003s,	94,	1,	0m0.080s,	0m0.077s,	0m0.000s,	94,	1,	0m0.075s,	0m0.067s,	0m0.007s,	94,	1,	0m0.076s,	0m0.070s,	0m0.003s,	94,	1,	0m0.078s,	0m0.067s,	0m0.010s,	94,	1,	0m0.078s,	0m0.073s,	0m0.003s,	94,	1,	0m0.080s,	0m0.073s,	0m0.003s,	94,	1,	0m0.068s,	0m0.057s,	0m0.010s
workdir/satlib/uf20-91/uf20-0100,	4,	0m0.070s,	0m0.067s,	0m0.000s,	90,	4,	0m0.092s,	0m0.083s,	0m0.003s,	95,	4,	0m0.077s,	0m0.070s,	0m0.003s,	95,	4,	0m0.089s,	0m0.077s,	0m0.010s,	95,	4,	0m0.092s,	0m0.067s,	0m0.020s,	95,	4,	0m0.056s,	0m0.047s,	0m0.007s,	95,	4,	0m0.091s,	0m0.080s,	0m0.007s,	95,	4,	0m0.096s,	0m0.083s,	0m0.010s,	95,	4,	0m0.092s,	0m0.080s,	0m0.010s,	95,	4,	0m0.054s,	0m0.047s,	0m0.007s,	95,	4,	0m0.094s,	0m0.080s,	0m0.010s
workdir/satlib/uf20-91/uf20-0101,	6,	0m0.042s,	0m0.037s,	0m0.003s,	92,	6,	0m0.077s,	0m0.070s,	0m0.003s,	92,	6,	0m0.077s,	0m0.070s,	0m0.003s,	92,	6,	0m0.079s,	0m0.060s,	0m0.017s,	92,	6,	0m0.041s,	0m0.030s,	0m0.010s,	92,	6,	0m0.069s,	0m0.060s,	0m0.007s,	92,	6,	0m0.059s,	0m0.050s,	0m0.007s,	92,	6,	0m0.075s,	0m0.063s,	0m0.007s,	92,	6,	0m0.078s,	0m0.067s,	0m0.007s,	92,	6,	0m0.071s,	0m0.070s,	0m0.000s,	92,	6,	0m0.072s,	0m0.067s,	0m0.003s
workdir/satlib/uf20-91/uf20-0102,	6,	0m0.065s,	0m0.053s,	0m0.010s,	89,	6,	0m0.068s,	0m0.063s,	0m0.003s,	96,	6,	0m0.057s,	0m0.050s,	0m0.003s,	96,	6,	0m0.076s,	0m0.073s,	0m0.000s,	96,	6,	0m0.075s,	0m0.073s,	0m0.000s,	96,	6,	0m0.082s,	0m0.070s,	0m0.007s,	96,	6,	0m0.080s,	0m0.070s,	0m0.007s,	96,	6,	0m0.093s,	0m0.080s,	0m0.010s,	96,	6,	0m0.075s,	0m0.067s,	0m0.007s,	96,	6,	0m0.046s,	0m0.040s,	0m0.003s,	96,	6,	0m0.077s,	0m0.067s,	0m0.010s
workdir/satlib/uf20-91/uf20-0103,	1,	0m0.078s,	0m0.067s,	0m0.010s,	88,	1,	0m0.093s,	0m0.090s,	0m0.000s,	95,	1,	0m0.084s,	0m0.073s,	0m0.007s,	95,	1,	0m0.088s,	0m0.073s,	0m0.013s,	95,	1,	0m0.067s,	0m0.057s,	0m0.010s,	95,	1,	0m0.067s,	0m0.063s,	0m0.003s,	95,	1,	0m0.088s,	0m0.073s,	0m0.013s,	95,	1,	0m0.094s,	0m0.080s,	0m0.010s,	95,	1,	0m0.091s,	0m0.083s,	0m0.003s,	95,	1,	0m0.070s,	0m0.050s,	0m0.013s,	95,	1,	0m0.088s,	0m0.083s,	0m0.003s
workdir/satlib/uf20-91/uf20-0104,	27,	0m0.064s,	0m0.053s,	0m0.007s,	95,	27,	0m0.100s,	0m0.083s,	0m0.013s,	94,	27,	0m0.097s,	0m0.090s,	0m0.003s,	94,	27,	0m0.082s,	0m0.077s,	0m0.003s,	94,	27,	0m0.096s,	0m0.087s,	0m0.007s,	94,	27,	0m0.098s,	0m0.093s,	0m0.000s,	94,	27,	0m0.086s,	0m0.070s,	0m0.013s,	94,	27,	0m0.054s,	0m0.047s,	0m0.007s,	94,	27,	0m0.090s,	0m0.087s,	0m0.000s,	94,	27,	0m0.059s,	0m0.050s,	0m0.007s,	94,	27,	0m0.096s,	0m0.083s,	0m0.010s
workdir/satlib/uf20-91/uf20-0105,	1,	0m0.077s,	0m0.063s,	0m0.010s,	91,	1,	0m0.079s,	0m0.070s,	0m0.007s,	95,	1,	0m0.082s,	0m0.077s,	0m0.003s,	95,	1,	0m0.086s,	0m0.080s,	0m0.000s,	95,	1,	0m0.080s,	0m0.070s,	0m0.007s,	95,	1,	0m0.082s,	0m0.077s,	0m0.000s,	95,	1,	0m0.084s,	0m0.077s,	0m0.003s,	95,	1,	0m0.061s,	0m0.053s,	0m0.007s,	95,	1,	0m0.051s,	0m0.047s,	0m0.003s,	95,	1,	0m0.084s,	0m0.077s,	0m0.007s,	95,	1,	0m0.078s,	0m0.067s,	0m0.010s
workdir/satlib/uf20-91/uf20-0106,	1,	0m0.100s,	0m0.093s,	0m0.000s,	93,	1,	0m0.115s,	0m0.110s,	0m0.003s,	94,	1,	0m0.091s,	0m0.087s,	0m0.003s,	94,	1,	0m0.109s,	0m0.097s,	0m0.010s,	94,	1,	0m0.112s,	0m0.097s,	0m0.013s,	94,	1,	0m0.077s,	0m0.067s,	0m0.007s,	94,	1,	0m0.115s,	0m0.103s,	0m0.007s,	94,	1,	0m0.100s,	0m0.093s,	0m0.003s,	94,	1,	0m0.100s,	0m0.093s,	0m0.003s,	94,	1,	0m0.075s,	0m0.063s,	0m0.010s,	94,	1,	0m0.077s,	0m0.067s,	0m0.007s
workdir/satlib/uf20-91/uf20-0107,	1,	0m0.074s,	0m0.063s,	0m0.007s,	96,	1,	0m0.068s,	0m0.053s,	0m0.007s,	93,	1,	0m0.089s,	0m0.080s,	0m0.003s,	93,	1,	0m0.080s,	0m0.073s,	0m0.003s,	93,	1,	0m0.090s,	0m0.087s,	0m0.000s,	93,	1,	0m0.086s,	0m0.080s,	0m0.003s,	93,	1,	0m0.085s,	0m0.067s,	0m0.017s,	93,	1,	0m0.086s,	0m0.073s,	0m0.010s,	93,	1,	0m0.076s,	0m0.067s,	0m0.007s,	93,	1,	0m0.095s,	0m0.077s,	0m0.017s,	93,	1,	0m0.084s,	0m0.073s,	0m0.007s
workdir/satlib/uf20-91/uf20-0108,	4,	0m0.098s,	0m0.090s,	0m0.007s,	96,	4,	0m0.097s,	0m0.093s,	0m0.000s,	97,	4,	0m0.104s,	0m0.090s,	0m0.010s,	97,	4,	0m0.061s,	0m0.053s,	0m0.007s,	97,	4,	0m0.061s,	0m0.053s,	0m0.007s,	97,	4,	0m0.089s,	0m0.077s,	0m0.010s,	97,	4,	0m0.105s,	0m0.093s,	0m0.007s,	97,	4,	0m0.089s,	0m0.080s,	0m0.007s,	97,	4,	0m0.104s,	0m0.093s,	0m0.007s,	97,	4,	0m0.059s,	0m0.057s,	0m0.000s,	97,	4,	0m0.099s,	0m0.090s,	0m0.007s
