48	52	47	49
56	62	59	61
46	46	37	35
20	20	20	20
19	21	19	20
24	20	24	25
20	20	20	20
65	64	66	73
20	20	20	20
20	20	20	20
20	20	20	20
33	33	36	34
19	19	19	19
69	51	58	55
101	111	88	99
53	52	34	50
25	25	30	25
20	20	20	20
54	65	54	62
41	43	41	42
37	36	37	37
19	19	19	19
66	66	74	67
21	21	36	35
103	102	90	83
47	54	47	50
34	31	35	35
20	20	20	21
19	19	19	19
138	134	146	176
40	37	39	36
41	44	41	45
57	59	53	50
35	33	36	26
36	37	41	44
32	34	32	33
28	31	21	22
206	215	199	176
20	20	20	20
41	41	40	39
67	67	83	73
19	19	19	19
32	32	30	27
128	120	126	159
20	21	20	20
61	58	65	74
31	25	26	30
49	44	47	47
20	20	20	20
83	64	82	67
89	93	79	80
82	81	80	97
21	23	21	20
38	37	38	39
19	19	19	19
36	37	37	36
36	42	36	50
58	54	53	55
51	49	52	47
46	44	46	44
61	72	61	51
114	114	105	106
20	20	20	20
66	68	60	64
60	58	52	64
21	20	21	21
76	66	72	74
24	37	35	35
41	36	38	34
33	30	32	32
27	31	27	27
86	89	87	94
48	51	45	58
136	118	111	98
68	70	70	73
18	18	18	18
19	19	19	19
49	47	54	53
43	40	46	38
41	42	39	40
25	20	25	25
60	61	58	49
20	20	20	20
44	41	50	44
27	31	27	30
30	31	37	47
20	20	20	20
22	22	21	21
17	17	17	17
26	28	35	35
20	20	20	20
19	19	19	19
47	46	49	51
38	42	40	36
34	32	31	33
41	39	37	45
20	20	20	20
43	42	36	38
63	65	62	54
41	38	41	48
52	50	49	49
19	19	19	19
94	108	94	93
19	19	19	19
19	19	19	19
19	19	19	19
55	53	48	34
71	92	65	71
46	47	44	46
20	20	20	20
21	20	36	36
17	17	17	17
52	52	38	40
45	45	45	43
45	44	50	52
19	19	19	19
34	39	37	39
19	19	19	19
30	28	30	34
40	35	38	41
57	51	56	53
19	19	19	19
63	61	59	62
19	19	19	19
33	37	32	32
131	136	153	168
42	38	41	41
69	68	69	67
30	24	29	30
20	20	20	20
98	89	101	94
18	18	18	18
56	54	52	44
62	65	59	58
20	20	20	20
36	34	34	34
34	35	36	35
24	24	24	24
34	33	32	35
27	27	25	21
19	19	19	19
26	22	25	30
94	103	85	95
48	54	48	56
34	33	32	28
74	76	78	80
49	49	49	44
97	84	97	93
20	20	20	20
19	19	19	19
37	34	42	50
25	31	25	22
35	37	38	37
19	19	19	19
63	63	57	56
18	18	18	18
46	39	46	46
38	36	36	36
26	30	25	24
49	52	53	60
39	52	36	64
36	36	35	28
32	19	34	34
19	19	19	19
36	40	37	43
20	20	20	20
20	20	20	20
37	26	52	47
20	20	20	20
61	56	72	70
31	32	28	28
