32	30	39	39
7	7	8	9
7	7	8	7
17	17	17	17
7	7	8	7
17	17	17	17
10	9	10	10
22	21	20	19
45	27	53	42
45	27	51	42
45	27	53	43
45	27	51	43
45	27	53	43
45	27	51	43
45	27	53	42
45	27	51	42
45	27	53	42
45	27	51	42
45	27	53	43
45	27	51	43
45	27	53	43
45	27	51	43
45	27	53	42
45	27	51	42
46	40	38	41
45	28	52	45
46	40	38	42
46	40	35	42
46	40	37	41
46	40	34	41
46	40	37	42
46	40	34	42
6	6	6	6
6	6	6	6
6	6	6	6
15	13	19	21
15	13	18	21
15	13	19	19
15	13	18	19
24	18	20	23
24	18	20	23
24	18	20	23
24	18	20	23
16	13	21	13
16	13	21	13
15	13	19	21
15	13	18	21
15	13	19	19
15	13	18	19
24	18	20	23
24	18	20	23
24	18	20	23
24	18	20	23
16	13	21	13
16	13	21	13
16	14	23	16
16	14	20	16
16	14	16	15
16	14	16	15
16	14	16	15
16	14	16	15
16	14	16	14
16	14	16	15
16	14	23	16
16	14	20	16
23	19	30	30
77	67	118	119
70	47	81	78
23	19	30	30
77	67	118	119
70	47	81	78
23	19	30	30
87	51	100	95
114	65	71	69
10	10	10	10
4	4	4	4
