workdir/satlib/uf50-218/uf50-01.2.eva.log,216,171146,625874,202570,77,0m11.700s
workdir/satlib/uf50-218/uf50-01.3.eva.log,204,171213,625908,202648,77,0m11.747s
workdir/satlib/uf50-218/uf50-010.2.eva.log,222,228901,868991,328434,192,0m17.147s
workdir/satlib/uf50-218/uf50-010.3.eva.log,209,228946,869051,328514,192,0m16.357s
workdir/satlib/uf50-218/uf50-0100.2.eva.log,214,151916,513505,140399,50,0m10.457s
workdir/satlib/uf50-218/uf50-0100.3.eva.log,211,151977,513548,140502,50,0m10.057s
workdir/satlib/uf50-218/uf50-01000.2.eva.log,218,225887,726038,250499,155,0m15.067s
workdir/satlib/uf50-218/uf50-01000.3.eva.log,210,225962,726164,250699,155,0m16.020s
workdir/satlib/uf50-218/uf50-0101.2.eva.log,217,285132,978989,328027,161,0m19.887s
workdir/satlib/uf50-218/uf50-0101.3.eva.log,211,285195,979106,328138,161,0m21.107s
workdir/satlib/uf50-218/uf50-0102.2.eva.log,215,445298,1491364,549054,277,0m31.060s
workdir/satlib/uf50-218/uf50-0102.3.eva.log,207,445356,1491324,549075,277,0m30.707s
workdir/satlib/uf50-218/uf50-0103.2.eva.log,220,209756,698220,213711,809,0m15.463s
workdir/satlib/uf50-218/uf50-0103.3.eva.log,211,209818,698204,213731,809,0m14.180s
workdir/satlib/uf50-218/uf50-0104.2.eva.log,216,276672,892870,286230,93,0m18.623s
workdir/satlib/uf50-218/uf50-0104.3.eva.log,209,276691,892838,286287,93,0m19.070s
workdir/satlib/uf50-218/uf50-0105.2.eva.log,216,233069,882450,312633,230,0m16.737s
workdir/satlib/uf50-218/uf50-0105.3.eva.log,210,233126,882491,312677,230,0m17.097s
workdir/satlib/uf50-218/uf50-0106.2.eva.log,218,172145,635208,201601,90,0m14.033s
workdir/satlib/uf50-218/uf50-0106.3.eva.log,211,172178,635226,201675,90,0m13.740s
workdir/satlib/uf50-218/uf50-0107.2.eva.log,218,109605,371089,122521,46,0m7.227s
workdir/satlib/uf50-218/uf50-0107.3.eva.log,210,109629,371041,122535,46,0m7.023s
workdir/satlib/uf50-218/uf50-0108.2.eva.log,218,123276,504756,134718,685,0m8.990s
workdir/satlib/uf50-218/uf50-0108.3.eva.log,208,123328,504834,134785,685,0m9.530s
workdir/satlib/uf50-218/uf50-0109.2.eva.log,214,174077,611207,184613,407,0m11.803s
workdir/satlib/uf50-218/uf50-0109.3.eva.log,206,174148,611237,184715,407,0m12.067s
workdir/satlib/uf50-218/uf50-011.2.eva.log,222,149639,453328,138524,47,0m8.457s
workdir/satlib/uf50-218/uf50-011.3.eva.log,213,149695,453316,138559,47,0m8.663s
workdir/satlib/uf50-218/uf50-0110.2.eva.log,220,304953,970633,298838,546,0m19.740s
workdir/satlib/uf50-218/uf50-0110.3.eva.log,208,305019,970628,298884,546,0m20.120s
workdir/satlib/uf50-218/uf50-0111.2.eva.log,219,189686,850176,251585,47,0m17.067s
workdir/satlib/uf50-218/uf50-0111.3.eva.log,211,189791,850186,251674,47,0m17.257s
workdir/satlib/uf50-218/uf50-0112.2.eva.log,212,110775,350230,107682,91,0m6.510s
workdir/satlib/uf50-218/uf50-0112.3.eva.log,203,110810,350234,107720,91,0m6.757s
workdir/satlib/uf50-218/uf50-0113.2.eva.log,215,385908,1255653,438673,188,0m25.180s
workdir/satlib/uf50-218/uf50-0113.3.eva.log,205,385974,1255705,438766,188,0m25.540s
workdir/satlib/uf50-218/uf50-0114.2.eva.log,220,319562,1151344,361631,2095,0m24.700s
workdir/satlib/uf50-218/uf50-0114.3.eva.log,208,319589,1151362,361687,2095,0m24.570s
workdir/satlib/uf50-218/uf50-0115.2.eva.log,211,143544,533239,158488,594,0m10.610s
workdir/satlib/uf50-218/uf50-0115.3.eva.log,203,143614,533262,158544,594,0m10.943s
workdir/satlib/uf50-218/uf50-0116.2.eva.log,222,240862,821444,279700,228,0m15.343s
workdir/satlib/uf50-218/uf50-0116.3.eva.log,214,240912,821548,279772,228,0m15.337s
workdir/satlib/uf50-218/uf50-0117.2.eva.log,211,149960,575221,151667,1682,0m11.110s
workdir/satlib/uf50-218/uf50-0117.3.eva.log,202,150008,575228,151702,1682,0m11.357s
workdir/satlib/uf50-218/uf50-0118.2.eva.log,222,408221,1335270,561981,204,0m27.093s
workdir/satlib/uf50-218/uf50-0118.3.eva.log,211,408280,1335355,562100,204,0m27.017s
workdir/satlib/uf50-218/uf50-0119.2.eva.log,213,342234,1141743,349365,619,0m23.980s
workdir/satlib/uf50-218/uf50-0119.3.eva.log,207,342312,1141869,349490,619,0m23.737s
workdir/satlib/uf50-218/uf50-012.2.eva.log,217,214255,746889,253492,322,0m14.333s
workdir/satlib/uf50-218/uf50-012.3.eva.log,211,214318,746899,253532,322,0m14.187s
workdir/satlib/uf50-218/uf50-0120.2.eva.log,211,87620,305262,73836,47,0m5.870s
workdir/satlib/uf50-218/uf50-0120.3.eva.log,199,87656,305354,73904,47,0m6.290s
workdir/satlib/uf50-218/uf50-0121.2.eva.log,214,115948,484543,148468,63,0m8.717s
workdir/satlib/uf50-218/uf50-0121.3.eva.log,209,115954,484549,148496,63,0m8.233s
workdir/satlib/uf50-218/uf50-0122.2.eva.log,221,505089,1881557,622752,429,0m38.173s
workdir/satlib/uf50-218/uf50-0122.3.eva.log,213,505142,1881584,622817,429,0m37.457s
workdir/satlib/uf50-218/uf50-0123.2.eva.log,213,103019,320777,77563,226,0m5.897s
workdir/satlib/uf50-218/uf50-0123.3.eva.log,207,103085,320846,77641,226,0m5.980s
