workdir/satlib/uf75-325/uf75-060,	1472,	1472,	14m39.424s,	14m36.277s,	0m0.753s,	4m3.946s,	4m3.374s,	0m0.157s,	290,	283
workdir/satlib/uf75-325/uf75-064,	283,	283,	11m16.002s,	11m14.991s,	0m0.687s,	18m53.748s,	18m52.015s,	0m0.817s,	292,	290
workdir/satlib/uf75-325/uf75-066,	4522,	4522,	8m25.986s,	8m25.668s,	0m0.300s,	10m18.983s,	10m18.597s,	0m0.367s,	289,	281
workdir/satlib/uf75-325/uf75-067,	216,	216,	8m25.859s,	8m25.397s,	0m0.357s,	14m30.925s,	14m30.269s,	0m0.503s,	296,	283
workdir/satlib/uf75-325/uf75-068,	35202,	35202,	9m0.355s,	9m0.001s,	0m0.337s,	8m14.572s,	8m14.236s,	0m0.334s,	289,	286
workdir/satlib/uf75-325/uf75-069,	158,	158,	8m35.051s,	8m34.644s,	0m0.333s,	11m22.188s,	11m21.642s,	0m0.470s,	285,	289
workdir/satlib/uf75-325/uf75-070,	2688,	2688,	8m53.257s,	8m52.913s,	0m0.340s,	4m53.083s,	4m52.895s,	0m0.183s,	292,	289
workdir/satlib/uf75-325/uf75-074,	2240,	2240,	3m34.273s,	3m33.872s,	0m0.120s,	6m58.948s,	6m58.697s,	0m0.240s,	290,	295
workdir/satlib/uf75-325/uf75-078,	248,	248,	10m3.290s,	10m2.697s,	0m0.400s,	4m12.781s,	4m12.242s,	0m0.223s,	292,	283
workdir/satlib/uf75-325/uf75-079,	157,	157,	8m19.254s,	8m18.445s,	0m0.313s,	17m42.702s,	17m41.961s,	0m0.683s,	292,	285
workdir/satlib/uf75-325/uf75-081,	144,	144,	11m47.739s,	11m46.112s,	0m0.550s,	5m45.094s,	5m44.573s,	0m0.263s,	284,	288
workdir/satlib/uf75-325/uf75-083,	155,	155,	12m2.791s,	12m2.248s,	0m0.533s,	8m43.362s,	8m42.960s,	0m0.393s,	289,	283
workdir/satlib/uf75-325/uf75-084,	108,	108,	2m27.563s,	2m27.470s,	0m0.090s,	7m0.379s,	7m0.118s,	0m0.257s,	285,	288
workdir/satlib/uf75-325/uf75-085,	9680,	9680,	8m51.144s,	8m50.878s,	0m0.253s,	5m21.995s,	5m21.825s,	0m0.160s,	292,	279
workdir/satlib/uf75-325/uf75-086,	220,	220,	10m47.496s,	10m47.137s,	0m0.350s,	4m40.861s,	4m40.700s,	0m0.157s,	293,	288
workdir/satlib/uf75-325/uf75-087,	375441,	375441,	7m0.790s,	7m0.583s,	0m0.194s,	8m24.607s,	8m24.349s,	0m0.247s,	284,	283
workdir/satlib/uf75-325/uf75-088,	776,	776,	10m43.005s,	10m42.711s,	0m0.283s,	11m14.066s,	11m13.747s,	0m0.303s,	285,	294
workdir/satlib/uf75-325/uf75-089,	11038,	11038,	5m1.047s,	5m0.855s,	0m0.180s,	3m4.797s,	3m4.677s,	0m0.113s,	283,	290
workdir/satlib/uf75-325/uf75-08,	152,	152,	3m25.139s,	3m25.027s,	0m0.110s,	6m4.175s,	6m3.980s,	0m0.193s,	292,	293
workdir/satlib/uf75-325/uf75-090,	36,	36,	1m32.157s,	1m32.096s,	0m0.060s,	17m20.511s,	17m20.067s,	0m0.433s,	280,	285
